episode_id,step,commanded_vx,pitch,roll,omega_x,omega_y,sin_phase,cos_phase,fall_detected
4,1200,0.2,0.0363,-0.0019,-0.7195,-0.0551,0.0157,0.9999,False
4,1300,0.2,0.0438,0.0555,-0.0158,0.0651,0.9999,-0.0157,False
4,1400,0.2,0.0495,-0.0074,0.8794,-0.1751,-0.0157,-0.9999,False
4,1500,0.2,0.04,-0.0595,0.0101,-0.0183,-0.9999,0.0157,False
4,1600,0.2,0.0367,-0.0019,-0.7188,-0.0569,0.0157,0.9999,False
4,1700,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
4,1800,0.2,0.0496,-0.0075,0.8811,-0.1754,-0.0157,-0.9999,False
4,1900,0.2,0.04,-0.0596,0.0099,-0.0186,-0.9999,0.0157,False
4,2000,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
4,2100,0.2,0.0439,0.0556,-0.0155,0.0646,0.9999,-0.0157,False
4,2200,0.2,0.0496,-0.0074,0.8809,-0.1753,-0.0157,-0.9999,False
4,2300,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
4,2400,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
4,2500,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
4,2600,0.2,0.0496,-0.0074,0.8809,-0.1753,-0.0157,-0.9999,False
4,2700,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
4,2800,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
4,2900,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
4,3000,0.2,0.0496,-0.0074,0.8809,-0.1753,-0.0157,-0.9999,False
4,3100,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
4,3200,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
4,3300,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
4,3400,0.2,0.0496,-0.0074,0.8808,-0.1753,-0.0157,-0.9999,False
4,3500,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
4,3600,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
4,3700,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
4,3800,0.2,0.0496,-0.0074,0.8808,-0.1753,-0.0157,-0.9999,False
4,3900,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
4,4000,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
4,4100,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
4,4200,0.2,0.0496,-0.0074,0.8808,-0.1752,-0.0157,-0.9999,False
4,4300,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
4,4400,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
4,4500,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
4,4600,0.2,0.0496,-0.0074,0.8808,-0.1752,-0.0157,-0.9999,False
4,4700,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
4,4800,0.2,0.0367,-0.0019,-0.719,-0.0571,0.0157,0.9999,False
4,4900,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
4,4999,0.2,0.0499,-0.0056,0.856,-0.1521,0.0,-1.0,False
5,0,0.4,0.0004,-0.0,0.0,0.2184,0.0157,0.9999,False
5,100,0.4,0.0683,0.0024,-0.0185,0.2065,0.9999,-0.0157,False
5,200,0.4,0.0788,-0.053,0.4141,-0.1383,-0.0157,-0.9999,False
5,300,0.4,0.0752,-0.0796,-0.0984,-0.0361,-0.9999,0.0157,False
5,400,0.4,0.0607,-0.005,-0.8255,-0.1079,0.0157,0.9999,False
5,500,0.4,0.0649,0.0651,-0.0266,0.0635,0.9999,-0.0157,False
5,600,0.4,0.0605,0.0074,0.8006,-0.2935,-0.0157,-0.9999,False
5,700,0.4,0.0457,-0.0643,0.0107,0.0171,-0.9999,0.0157,False
5,800,0.4,0.0457,-0.0047,-0.7245,-0.0627,0.0157,0.9999,False
5,900,0.4,0.0545,0.0628,-0.0177,0.0672,0.9999,-0.0157,False
5,1000,0.4,0.0493,0.0028,0.8517,-0.3047,-0.0157,-0.9999,False
5,1100,0.4,0.0377,-0.0655,0.0051,0.038,-0.9999,0.0157,False
5,1200,0.4,0.0414,-0.0068,-0.7029,-0.0419,0.0157,0.9999,False
5,1300,0.4,0.0528,0.0617,-0.018,0.0779,0.9999,-0.0157,False
5,1400,0.4,0.0502,0.0018,0.8477,-0.291,-0.0157,-0.9999,False
5,1500,0.4,0.0394,-0.0653,0.0044,0.036,-0.9999,0.0157,False
5,1600,0.4,0.0423,-0.0062,-0.7106,-0.0458,0.0157,0.9999,False
5,1700,0.4,0.0527,0.0617,-0.0151,0.0752,0.9999,-0.0157,False
5,1800,0.4,0.0498,0.0013,0.8542,-0.2932,-0.0157,-0.9999,False
5,1900,0.4,0.0392,-0.0656,0.0043,0.037,-0.9999,0.0157,False
5,2000,0.4,0.0423,-0.0067,-0.706,-0.0447,0.0157,0.9999,False
5,2100,0.4,0.0533,0.0619,-0.0184,0.0772,0.9999,-0.0157,False
5,2200,0.4,0.0507,0.0021,0.8461,-0.2909,-0.0157,-0.9999,False
5,2300,0.4,0.0395,-0.0653,0.0045,0.0346,-0.9999,0.0157,False
5,2400,0.4,0.0423,-0.0061,-0.7113,-0.0456,0.0157,0.9999,False
5,2500,0.4,0.0528,0.0618,-0.0153,0.075,0.9999,-0.0157,False
5,2600,0.4,0.0497,0.0014,0.8543,-0.2941,-0.0157,-0.9999,False
5,2700,0.4,0.0391,-0.0656,0.0045,0.0373,-0.9999,0.0157,False
5,2800,0.4,0.0423,-0.0068,-0.7047,-0.0445,0.0157,0.9999,False
5,2900,0.4,0.0533,0.0618,-0.0185,0.0771,0.9999,-0.0157,False
5,3000,0.4,0.0507,0.002,0.8464,-0.2911,-0.0157,-0.9999,False
5,3100,0.4,0.0397,-0.0653,0.0043,0.0358,-0.9999,0.0157,False
5,3200,0.4,0.0424,-0.006,-0.7128,-0.0465,0.0157,0.9999,False
5,3300,0.4,0.0528,0.0619,-0.0151,0.0749,0.9999,-0.0157,False
5,3400,0.4,0.0497,0.0015,0.8536,-0.2936,-0.0157,-0.9999,False
5,3500,0.4,0.0391,-0.0656,0.0046,0.0371,-0.9999,0.0157,False
5,3600,0.4,0.0423,-0.0067,-0.7056,-0.0446,0.0157,0.9999,False
5,3700,0.4,0.0533,0.0619,-0.0184,0.0772,0.9999,-0.0157,False
5,3800,0.4,0.0506,0.0021,0.8462,-0.2909,-0.0157,-0.9999,False
5,3900,0.4,0.0397,-0.0652,0.0044,0.0358,-0.9999,0.0157,False
5,4000,0.4,0.0424,-0.006,-0.7128,-0.0465,0.0157,0.9999,False
5,4100,0.4,0.0528,0.0619,-0.0151,0.0749,0.9999,-0.0157,False
5,4200,0.4,0.0497,0.0015,0.8536,-0.2936,-0.0157,-0.9999,False
5,4300,0.4,0.0391,-0.0656,0.0046,0.0371,-0.9999,0.0157,False
5,4400,0.4,0.0423,-0.0067,-0.7057,-0.0446,0.0157,0.9999,False
5,4500,0.4,0.0533,0.0619,-0.0184,0.0772,0.9999,-0.0157,False
5,4600,0.4,0.0506,0.0021,0.8462,-0.2909,-0.0157,-0.9999,False
5,4700,0.4,0.0394,-0.0653,0.0045,0.0346,-0.9999,0.0157,False
5,4800,0.4,0.0423,-0.0061,-0.7113,-0.0456,0.0157,0.9999,False
5,4900,0.4,0.0528,0.0618,-0.0154,0.075,0.9999,-0.0157,False
5,4999,0.4,0.0503,0.0031,0.8228,-0.2717,0.0,-1.0,False
6,0,0.4,0.0004,-0.0,0.0,0.2184,0.0157,0.9999,False
6,100,0.4,0.0719,0.0057,0.0004,0.1904,0.9999,-0.0157,False
6,200,0.4,0.0856,-0.0525,0.415,-0.113,-0.0157,-0.9999,False
6,300,0.4,0.0841,-0.0814,-0.0894,-0.0408,-0.9999,0.0157,False
6,400,0.4,0.0668,-0.0104,-0.7703,-0.1293,0.0157,0.9999,False
6,500,0.4,0.0695,0.0638,-0.0403,0.0539,0.9999,-0.0157,False
6,600,0.4,0.0634,0.0088,0.7776,-0.299,-0.0157,-0.9999,False
6,700,0.4,0.0471,-0.064,0.0146,0.0145,-0.9999,0.0157,False
